,file,parsed,entities,labels,position_start,position_end,has_terms
PMC7599108,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7599108\sections\1_body\1_methods_design\9_statistical_analysis\1_p.xml,"The changes of ACFs number in each group, the primary endpoint, will be compared between the aspirin plus placebo group and the aspirin plus metformin group by the Student 
 ",[],[],[],[],False
PMC7602352,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7602352\sections\1_body\5_ethics_and_dissemination\2_confidentiality\1_p.xml,"Only the Principal investigator and study coordinators will have access to the research data. At the completion of the study, participant identifiers will be removed from stored data and anonymized. Re-identification of participants will be kept by a 3rd party person not involved in the study project. The participants’ name will not be used in any public report of the study.","[Principal, 3rd]","['ORG', 'ORDINAL']","[9, 251]","[18, 254]",False
PMC7667753,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7667753\sections\1_body\2_results\3_impact_of_vaccination_on_\1_p.xml,"15 women (vaccine, 
 ",[15],['CARDINAL'],[0],[2],False
PMC7705564,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7705564\sections\1_body\3_discussion\2_ethics_approval\1_p.xml,This study was approved by the Clinical Research Review Boards of Saitama Medical University (approved number 192002) for all institutes.,"[the Clinical Research Review Boards of, Saitama Medical University, 192002]","['ORG', 'ORG', 'DATE']","[27, 66, 110]","[65, 92, 116]",False
PMC7717794,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7717794\sections\1_body\5_author_contributions\9_p.xml,"
 ",[],[],[],[],False
PMC7718682,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7718682\sections\1_body\2_ethics_and_dissemination\5_publications_planned\1_design_articles\1_p.xml,“Intra-professional interactions: findings from interprofessional case-based learning in childhood cancer”.,[],[],[],[],False
PMC7738016,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7738016\sections\1_body\3_author_contributions\9_p.xml,"
 ",[],[],[],[],False
PMC7738079,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7738079\sections\1_body\6_author_contributions\9_p.xml,"
 ",[],[],[],[],False
PMC7748172,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7748172\sections\1_body\5_author_contributions\1_p.xml,"
 ",[],[],[],[],False
PMC7753290,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7753290\sections\1_body\9_effect_on_data_analysis_a\1_p.xml,"Although all patients completed the randomised component of trial treatment by 29 February 2020, delays and alterations to maintenance therapy may not have affected the two arms equally. PIs may be potentially biased to alter treatment based on local COVID‐19 clusters and patients’ favourable MM response. Therefore, sensitivity analyses will be performed with and without the inclusion of affected patients to assess the significance of the measures taken on patient outcomes. Secondary outcomes will also be assessed as originally intended in both pre‐ and post‐COVID‐19 scenarios.","[29, February 2020, two, MM]","['CARDINAL', 'DATE', 'CARDINAL', 'ORG']","[79, 82, 169, 294]","[81, 95, 172, 296]",False
PMC7802165,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7802165\sections\1_body\1_methods_design\9_sample_size\1_p.xml,"In this trial, the patients will be hierarchically grouped by a network multicenter central stochastic system. The subjects will be randomized by the system after screening. This study uses DFS as the main evaluation index. According to the CLASSIC study, the 3-year DFS rates of patients with IIIA and IIIB gastric adenocarcinoma who received XELOX regimen are 66 and 61%, respectively [
 ","[CLASSIC, 3-year, IIIA, IIIB, 66 and 61%]","['ORG', 'DATE', 'ORG', 'ORG', 'PERCENT']","[241, 260, 294, 303, 362]","[248, 266, 298, 307, 372]",False
PMC7811182,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7811182\sections\1_body\3_discussion\3_limitations\1_p.xml,"Our study has a few limitations. Our findings must be interpreted in the context of the trial design. As a pilot study, analyses are limited by the small cohort size that established feasibility. Moreover, our methodology was entirely dependent on advanced breast MRI imaging approaches; extrapolation of our results to other imaging modalities must be made with caution.",[],[],[],[],False
PMC7836185,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7836185\sections\1_body\1_methods\7_outcomes\1_primary_and_secondary_out\1_p.xml,"The primary outcome of the study is percentage change in cervical cancer screening uptake from baseline to follow-up in the intervention group compared to the control group in a 12-month home-based health education intervention. The baseline survey will be conducted before the cluster randomization, and a follow-up survey of similar method will be conducted after 12-month intervention. The response of each participant for cervical cancer screening in the baseline survey and the follow-up survey will be compared to evaluate the percentage. In addition, FCHV will provide a referral slip to the participants in the intervention group (keeping a copy of the referral slip to submit to the field supervisor) during the home visit, which they take with them and submit to the health facility for VIA screening. The referral slip contains study code, name, age, address, and signature of both FCHV and the participant. FCHV will inform the participants about the health facility where the services are freely available. The key health personnel providing the VIA screening services are oriented about the study. Furthermore, confidentiality about the participants’ information will be maintained throughout the intervention. The field supervisor will collect the referral slip to confirm that the participants have received VIA screening and results from all the health facilities of the intervention ward as a reference to the participants’ response.","[12-month, 12-month, FCHV, VIA, VIA, VIA]","['DATE', 'DATE', 'ORG', 'ORG', 'ORG', 'ORG']","[178, 366, 558, 797, 1059, 1324]","[186, 374, 562, 800, 1062, 1327]",False
PMC7844712,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7844712\sections\2_back\1_supplementary_material\1_p.xml,empty,[],[],[],[],False
PMC7845673,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7845673\sections\1_body\3_methods_and_analysis\2_eligibility_criteria\5_study_types\1_p.xml,"Randomised controlled trials; non-randomised controlled studies (using strategies of non-random allocation for assigning interventions) and observational studies (with control group) will be eligible for the scoping review. We will not consider single arm studies. Due to a missing control group within this study design. The reason for this exclusion is that studies without a control group provide no reliable data to estimate comparative effectiveness and will, therefore, not be useful for the planned randomised trial. Furthermore, review articles, clinical guidelines and work that has not been peer-reviewed (eg, thesis, editorials, letters, comments) will be excluded.",[],[],[],[],False
PMC7852634,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7852634\sections\1_body\6_article_highlights\7_research_perspectives\1_p.xml,A multicenter study with a large sample size is needed. Accurate metrological data is needed.,[],[],[],[],False
PMC7863429,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7863429\sections\1_body\1_methods_design\6_interventions_treatments\2_arm_b\1_p.xml,"In the Control group (without SBRT), palliative radiotherapy on bone metastases is allowed if necessary (pain, fracture, spinal cord compression …).",[Control],['ORG'],[7],[14],False
PMC7870244,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7870244\sections\1_body\1_study_protocol\10_evaluation_and_management\9_p.xml,Where T1 and T0 are timepoints of the measurement.,"[T1, T0]","['CARDINAL', 'CARDINAL']","[6, 13]","[8, 15]",False
PMC7871775,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7871775\sections\1_body\5_treatment_protocol_and_fo\4_pilot_study_on_emr_data_r\1_p.xml,"The EMR domains selected for the pilot study were purposely chosen to be generic and applicable to future clinical studies (eg, health care or hospital encounters, demographics, medications, labs, prior medical, or surgical diagnoses). This component of the trial is intended to explore new methods of data acquisition that may expand central monitoring capabilities and improve the efficiency of site monitoring by reducing or eliminating the requirement to perform on-site or remote source data verification. The pilot will also explore whether EMR data can replace manual transcription of study data into the clinical database for selected fields. For this study, all data will also be manually entered by site personnel into a conventional electronic data capture system for regulatory purposes and to allow for comparisons.",[],[],[],[],False
PMC7886100,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7886100\sections\2_back\0_disclosure\1_p.xml,We declare that we do not have any commercial or associative interest that represents a conflict of interest in connection with the work submitted. And informed consents have been obtained from all patients included in this trial.,[],[],[],[],True
PMC7899845,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7899845\sections\1_body\4_author_contributions\9_p.xml,"
 ",[],[],[],[],False
PMC7906827,D:\main_projects\repositories\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7906827\sections\1_body\3_discussion\1_p.xml,"In a middle-aged and elderly population in the Netherlands from predominantly West-European descent, we found that 97% of this population would be eligible to participate in any of the nine currently ongoing vaccine trials against SARS-CoV-2. For persons at high-risk of severe COVID-19, the eligibility for any trial was 96%. Importantly, applying stricter exclusion based on the criterion ‘acute’ or ‘unstable preexisting’ disease drastically reduced the eligibility for any trial to 43% of the entire study population and 36% of the high-risk individuals.","[Netherlands, West-European, 97%, nine, COVID-19, 96%, 43%, 36%]","['GPE', 'NORP', 'PERCENT', 'CARDINAL', 'PERSON', 'PERCENT', 'PERCENT', 'PERCENT']","[47, 78, 115, 185, 278, 322, 486, 525]","[58, 91, 118, 189, 286, 325, 489, 528]",False
