,Entities,Labels,Position_Start,Position_End
0,Ethics Committee,ORG,71,87
1,the Affiliated Hospital of Qingdao University School of Medicine,ORG,91,155
2,Second,ORDINAL,478,484
3,the Ethics Board of Central China Normal University,ORG,868,919
4,the Institutional Review Board for Human Studies,ORG,1759,1807
5,Zhejiang University School of Medicine,ORG,1841,1879
6,Hangzhou,GPE,1881,1889
7,China,GPE,1891,1896
8,the West China Hospital,ORG,2200,2223
9,Sichuan University,ORG,2225,2243
10,Kantonale Ethikkommission Kanton Bern,ORG,2415,2452
11,Ethics Committee,ORG,3042,3058
12,"the Institute of Psychology, Pedagogical University of Kraków",ORG,3062,3123
13,the Medical Ethics Committee,ORG,3312,3340
14,the Ethics Committee of,ORG,3643,3666
15,the Zhejiang Cancer Hospital,ORG,3667,3695
16,the Affiliated Hospital of,ORG,3947,3973
17,Xuzhou Medical University,ORG,3974,3999
18,the General Hospital of Central Theater Command,ORG,4192,4239
19,Ethics Committee,ORG,4710,4726
20,the Fourth Affiliated Hospital,FAC,4730,4760
21,Harbin Medical University,ORG,4764,4789
22,Bahrain National,ORG,5112,5128
23,Taskforce Ethics Committee,ORG,5138,5164
24,Ethics Committee,ORG,5333,5349
25,People's Hospital,ORG,5381,5398
26,Medical Ethics Committee,ORG,5567,5591
27,Tallaght University Hospital & St,ORG,5799,5832
28,2019-09,DATE,5883,5890
29,the Medical Ethics Committee,ORG,6092,6120
30,the Third Affiliated Hospital of Sun Yat-sen University,ORG,6124,6179
31,the Ethics Committee of Chengdu Second People's Hospital,ORG,6508,6564
32,the Second Affiliated Hospital of Soochow University,ORG,6856,6908
33,IMDEA Networks Ethics Committee,ORG,7077,7108
34,Royal Brisbane,ORG,7277,7291
35,Teikyo University School of Medicine (TR,ORG,7537,7577
36,the Medical Faculty of the Ludwig Maximilians University,ORG,7800,7856
37,Munich,GPE,7858,7864
38,Germany,GPE,7866,7873
39,17,CARDINAL,7893,7895
40,Ethics,ORG,7924,7930
41,AZ ST JAN,ORG,7944,7953
42,Brugge Oostende,ORG,7955,7970
43,Belgium,GPE,7972,7979
44,AV Ethics,ORG,7981,7990
45,Nr.2247,ORG,8033,8040
46,"May 17th, 2018",DATE,8112,8126
47,"the Ethics Committee of 
 
Ethical",ORG,8449,8483
48,the University of Toronto,ORG,8796,8821
49,Comité de,ORG,9165,9174
50,Île de France III,ORG,9199,9216
51,Comité de,ORG,9221,9230
52,Île de France IV,ORG,9255,9271
53,Ethics,ORG,9647,9653
54,Bielefeld University,ORG,9667,9687
55,Shandong Provincial Hospital,ORG,9894,9922
56,Shandong First Medical University,ORG,9937,9970
57,the Medical Ethics Committee,ORG,10139,10167
58,the Xiangya Hospital,ORG,10171,10191
59,the Ethics Committee,ORG,10196,10216
60,the Third Affiliated Hospital of Soochow University,ORG,10220,10271
61,Fukuoka University Hospital Ethics Committee,ORG,10499,10543
62,Medical Ethics Committee,ORG,10866,10890
63,Huashan Hospital,ORG,10894,10910
64,Fudan University,ORG,10912,10928
65,Shanghai,GPE,10930,10938
66,China,GPE,10940,10945
67,Ethics Committee,ORG,11114,11130
68,First Affiliatted Hospital of Dalian Medical University,ORG,11134,11189
69,Medical Ethics Committee,ORG,11417,11441
70,Ethics Committee,ORG,11601,11617
71,Xiangya Hospital,ORG,11621,11637
72,Central South University,ORG,11639,11663
73,Institutional Review Board Ethics Committee,ORG,11736,11779
74,Ludwig Maximilians University Munich,ORG,12372,12408
75,227,CARDINAL,12410,12413
76,Seirei Hamamatsu General Hospital,ORG,12610,12643
77,Goethe University,ORG,12835,12852
78,the Medical Ethics Committee,ORG,13021,13049
79,Xiangya Hospital Central South University,ORG,13053,13094
80,Beijing Academy of Agriculture and Forestry Sciences,ORG,13402,13454
81,Ethics Committee,ORG,13701,13717
82,Dalian Medical University,ORG,13750,13775
83,Laval University Animal Care Committee,ORG,13823,13861
84,CHFU Ethics Committee,ORG,13934,13955
85,the Institutional Review Board,ORG,14378,14408
86,the Jordan University of Science and Technology,ORG,14412,14459
87,Tangdu,GPE,14687,14693
88,the Ethics Committee of the Academic College,ORG,15039,15083
89,the Ethics Committee,ORG,15242,15262
90,Instituto Investigación Sanitaria,ORG,15368,15401
91,Gregorio Marañón,PERSON,15402,15418
92,Ethics Committee of King Fahd Armed Forces Hospital,ORG,15784,15835
93,the Ethics Committee,ORG,16374,16394
94,the First Affiliated Hospital of Zhengzhou University of Henan Province,ORG,16398,16469
95,The Institutional Ethics Committee,ORG,17196,17230
96,the First Affiliated Hospital of Zhejiang University School of Medicine,ORG,17234,17305
97,National Institute for Infectious Diseases,ORG,17474,17516
98,Lazzaro Spallanzani,PERSON,17518,17537
99,IRCCS,GPE,17539,17544
100,Rome,GPE,17546,17550
101,Italy,GPE,17552,17557
102,"the Institutional Review Board, Office of Research",ORG,17726,17776
103,Utah State University,ORG,17780,17801
104,the University of Tennessee Health Science Center,ORG,17970,18019
105,33,CARDINAL,18211,18213
106,Oita University Faculty of Medicine,ORG,18296,18331
107,44,CARDINAL,18383,18385
108,Oita Okanoue Hospital,ORG,18468,18489
109,the Ethics Committee,ORG,19125,19145
110,the First Affiliated Hospital of Chongqing Medical University,ORG,19149,19210
111,the ‘‘Committee of School Curriculum Development'',EVENT,19387,19437
112,Ethics Committee,ORG,19575,19591
113,Taipei Hospital,ORG,19595,19610
114,Ministry of Health and Welfare,ORG,19612,19642
115,TH-IRB-0021-0001,ORG,19644,19660
116,Penn State Office for Research Protections,ORG,19813,19855
117,the Research Ethics Committee,ORG,20018,20047
118,Renmin University of China,ORG,20051,20077
119,the Declaration of Helsinki,WORK_OF_ART,20189,20216
120,the Research Ethics Committee,ORG,20247,20276
121,Renmin University of China,ORG,20280,20306
122,Research Ethics Committee,ORG,20334,20359
123,Guangdong Provincial People’s Hospital,ORG,20363,20401
124,Guangdong Academy of Medical Sciences,ORG,20403,20440
125,Monash University Human Research Ethics Committee,ORG,20635,20684
126,Ethics,ORG,20873,20879
127,Dalian,GPE,20893,20899
128,Ethics,ORG,21342,21348
129,Northeast International Hospital,ORG,21362,21394
130,Shanghai Tongji Hospital Ethics Committee,ORG,22026,22067
131,the Senate Committee on Ethics of Scientific Research,ORG,22256,22309
132,the University School of Physical Education,ORG,22313,22356
133,Wrocław,ORG,22360,22367
134,Asan Medical Center,ORG,22833,22852
135,Asan Medical Center,ORG,22951,22970
136,Charité - Universitätsmedizin Berlin,ORG,23067,23103
137,Ethics Committee of Shengjing Hospital,ORG,23498,23536
138,UK Biobank,ORG,23903,23913
139,Research Ethics Committee,ORG,23976,24001
140,UK,GPE,24019,24021
141,11,CARDINAL,24040,24042
142,St Vincent's Hospital,PERSON,24488,24509
143,Melbourne) Human Research Ethics Committee,ORG,24511,24553
144,Ethics,ORG,24847,24853
145,Mashhad University of Medical Sciences,ORG,24867,24905
146,2020-04-19,DATE,24909,24919
147,IR.MUMS.REC.1399.118,ORG,24923,24943
148,Iran,GPE,24975,24979
149,22 June 2020,DATE,25047,25059
