,file,parsed,entities,labels,position_start,position_end
PMC6856665,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_1000\PMC6856665\sections\1_body\6_ethics_statement\1_p.xml,The animal study was reviewed and approved by Ethics Committee of Endocrinology and Metabolism Research Institute of Tehran University of Medical Sciences (Code: EC-00214).,"[Ethics Committee of Endocrinology, Metabolism Research Institute, Tehran University of Medical Sciences (Code]","['ORG', 'ORG', 'ORG']","[46, 84, 117]","[79, 113, 160]"
PMC6877543,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_1000\PMC6877543\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the University of Ceara Hospital Research Ethics Board (Protocol no. 1886743). The patients/participants provided their written informed consent to participate in this study.,"[the University of Ceara Hospital Research Ethics Board, 1886743]","['ORG', 'DATE']","[71, 140]","[125, 147]"
PMC6927906,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_1000\PMC6927906\sections\1_body\6_ethics_statement\1_p.xml,We used an established protocol for cell isolation. When informed and written consent was given extracted third molars were used to prepare fibroblasts from the dental pulp. The protocol was approved by the Ethics committee of the Medical University of Vienna (631/2007).,"[third, Ethics, the Medical University of Vienna]","['ORDINAL', 'ORG', 'ORG']","[106, 207, 227]","[111, 213, 259]"
PMC7008714,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_1000\PMC7008714\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the Finnish National Supervisory Authority for Welfare (Dnro V/74832/2017, V/3235/2019) and Health and the ethics committees of Helsinki University Central Hospital (382/13/03/01/2014, HUS/114/2018) and Turku University Central Hospital (ETMK 78/2012). Samples and data from Spanish patients included in this study were provided by the IDIBGI Biobank (Biobanc IDIBGI, B.0000872), integrated in the Spanish National Biobanks Network, and they were processed following standard operating procedures with the appropriate approval of the ethics and scientific committees. Written informed consent from the participants' legal guardian/next of kin was not required to participate in this study in accordance with the national legislation and the institutional requirements.","[the Finnish National Supervisory Authority for Welfare, V/3235/2019, Health, Helsinki University Central Hospital, 382/13/03/01/2014, HUS/114/2018, Turku University Central Hospital, Spanish, the IDIBGI Biobank, Biobanc IDIBGI, B.0000872]","['ORG', 'ORG', 'ORG', 'ORG', 'CARDINAL', 'ORG', 'ORG', 'NORP', 'ORG', 'ORG', 'GPE']","[71, 146, 163, 199, 237, 256, 274, 346, 403, 423, 439]","[125, 157, 169, 235, 254, 268, 307, 353, 421, 437, 448]"
PMC7040181,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_1000\PMC7040181\sections\1_body\6_ethics_statement\1_p.xml,"The animal experiments were performed in accordance with animal experimentation and ethics guidelines of the EU (2010/63/EU). Experimental protocols were approved by the Review Committee of Biological Research Centre and by the Joint Local Ethics and Animal Welfare Committee of Avidin Ltd., then by National Food Chain Safety Office Directorate of Animal Health and Animal Welfare (NÉBIH) in possession of an ethical clearance XXIX./128/2013.","[EU, 2010/63, EU, the Review Committee of Biological Research Centre, the Joint Local Ethics, Animal Welfare Committee, Avidin Ltd., National Food Chain Safety Office Directorate of Animal Health and Animal Welfare]","['ORG', 'CARDINAL', 'GPE', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG']","[109, 113, 121, 166, 224, 251, 279, 300]","[111, 120, 123, 216, 246, 275, 290, 381]"
PMC7080866,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_1000\PMC7080866\sections\1_body\6_ethics_statement\1_p.xml,The animal study was reviewed and approved by The ethics committee of Guangdong Provincial People’s Hospital.,[Guangdong Provincial People’s Hospital],['ORG'],[70],[108]
PMC7082878,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_1000\PMC7082878\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Human Ethics Review Committee of the Israel Ministry of Health and the Tel-Aviv Medical Center. The ethics committee waived the requirement of written informed consent for participation.,"[Human Ethics Review Committee, the Israel Ministry of Health, the Tel-Aviv Medical Center]","['ORG', 'ORG', 'ORG']","[71, 104, 138]","[100, 133, 165]"
PMC7096589,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_1000\PMC7096589\sections\1_body\6_ethics_statement\1_p.xml,"Ethical approval was authorized through UCL Research Ethics Committee Office for the Vice Provost (0389/025: The internal representations of children and adolescents in care, 2017). Informed consent for participation was obtained from the children’s local authority social workers, Five Rivers supervising social workers and from the children’s foster carers/residential care team. The study was also covered by the UCL data protection registration.","[UCL Research Ethics Committee Office, 0389/025, 2017, Five, UCL]","['ORG', 'CARDINAL', 'DATE', 'CARDINAL', 'ORG']","[40, 99, 175, 282, 416]","[76, 107, 179, 286, 419]"
PMC7111464,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_1000\PMC7111464\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by The Ethics Committee of the Peking University Health Science Center. The patients/participants provided their written informed consent to participate in this study.,[The Ethics Committee of the Peking University Health Science Center],['ORG'],[71],[138]
PMC7142259,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_1000\PMC7142259\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by [Guangdong Women and Children Hospital Ethics committee]. The legal guardian of participants provided written informed consent to participate in this study.,[Guangdong Women and Children Hospital Ethics],['ORG'],[72],[116]
