,parsed,entities,labels,position_start,position_end,has_terms
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\2_materials_and_methods\1_patient_population\1_p.xml,"This study protocol represents a sub‐study of a parent prospective randomized study comparing the effects of repetitive and single‐dose cell therapy in patients with nonischemic DCM (
 ",[DCM],['ORG'],[178],[181],study protocol
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\1_protocol_digest_of_the_st\2_study_setting_and_protoco\1_p.xml,"This is a single-arm, open-label, multicenter phase I study involving four institutions: Hokkaido University Hospital, St. Marianna University School of Medicine Hospital, National Hospital Organization Nagoya Medical Center, and Kyushu University Hospital. The protocol has been reviewed and approved by institutional review boards of each institutions.","[four, Hokkaido University Hospital, St. Marianna University School of Medicine Hospital, National Hospital Organization Nagoya Medical Center, Kyushu University Hospital]","['CARDINAL', 'ORG', 'ORG', 'ORG', 'ORG']","[70, 89, 119, 172, 230]","[74, 117, 170, 224, 256]",institutional review
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\1_protocol_digest_of_the_st\4_eligibility_criteria\1_p.xml,Written informed consent regarding participation in this clinical study could be obtained from subjects and/or representatives,[],[],[],[],informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\4_follow_up\1_p.xml,"In subjects treated with this drug, the following assessments should be performed 28 days (7 days) after the final administration if it does not exceed the data cut-off day. These assessments should be conducted before the start of posttreatment. If examinations/observation/surveys are impossible for unavoidable reasons, such as complete withdrawal from this study, drop-out, death, and unfavorable conditions, the reasons must be recorded in original materials, and this study should be completed. In this case, deficits in examination/observation/survey items scheduled 28 days after the final administration are not regarded as deviations from the study protocol.","[28 days, 7 days, 28 days]","['DATE', 'DATE', 'DATE']","[82, 91, 574]","[89, 97, 581]",study protocol
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5819660\sections\1_body\1_methods_design\9_consent\1_p.xml,"Informed consent will be obtained from all participants or a legal representative in case the former is impossible. As mentioned previously, this study involves two patient categories. In haematologic patients, lines are usually inserted electively for the administration of chemotherapy. Therefore, informed consent will be obtained before line placement. For the intensive care patient category, obtaining informed consent prior to CVC insertion is often not feasible. Therefore, for the intensive care setting patients may be included using the deferred consent procedure. We will randomise each patient at the ICU who meets the inclusion criteria directly before CVC placement. Informed consent from the legal representative will be requested as soon as possible. If informed consent is denied by a legal representative, the patient is excluded and data will no longer be used. Thenceforth, the patient is transfused according to the policy of the attending physician. If a patient dies before informed consent can be obtained, the data are used [
 ","[two, CVC, ICU, CVC]","['CARDINAL', 'ORG', 'ORG', 'ORG']","[161, 434, 614, 667]","[164, 437, 617, 670]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5830087\sections\1_body\1_methods\2_patient_eligibility\1_p.xml,"Patients, 18 to 75 years of age, provided written informed consent, and had histologically or cytologically confirmed non-squamous stage IIIB or IV NSCLC according to American Joint Committee on Cancer Staging v6 [
 ","[18, IIIB, IV NSCLC, American Joint Committee]","['CARDINAL', 'ORG', 'ORG', 'ORG']","[10, 137, 145, 167]","[12, 141, 153, 191]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5830087\sections\1_body\1_methods\3_study_design_and_treatmen\1_p.xml,"This randomized, open-label, multicenter, phase II study was performed at sites in Germany and the United States and was conducted in full accordance with the Good Clinical Practice: Consolidated Guideline approved by the International Conference on Harmonisation and all other applicable national and local laws/regulations. All study materials were approved by the governing ethics committee or institutional review board at each site.","[II, Germany, the United States, the Good Clinical Practice, Consolidated Guideline, the International Conference on Harmonisation]","['ORG', 'GPE', 'GPE', 'ORG', 'ORG', 'ORG']","[48, 83, 95, 155, 183, 218]","[50, 90, 112, 181, 205, 263]",ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5830392\sections\1_body\1_methods\1_p.xml,This prospective clinical trial was approved by the institutional review board of the Dana-Farber Cancer Institute/Harvard Cancer Center. Written informed consent was obtained prior to patient enrollment.,[Dana-Farber Cancer Institute/Harvard Cancer Center],['ORG'],[86],[136],informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5835032\sections\1_body\1_materials_and_methods\1_patients\1_p.xml,"After approval by the LUMC Institutional Review Board and written informed consent from the patient according to the Declaration of Helsinki, a 4-mm punch biopsy from normal skin over the posterior iliac crest was taken from patients at the day of alloSCT or at 3, 6, 12, or 24 weeks after alloSCT in the absence of GVHD. In case of the presence of GVHD after alloSCT, a skin biopsy was taken from affected skin. Diagnosis of skin GVHD was confirmed by an experienced pathologist.","[the LUMC Institutional Review Board, the Declaration of Helsinki, 3, 6, 12, 24 weeks, GVHD]","['ORG', 'WORK_OF_ART', 'CARDINAL', 'DATE', 'DATE', 'DATE', 'PERSON']","[18, 113, 262, 265, 268, 275, 349]","[53, 140, 263, 266, 270, 283, 353]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5841331\sections\1_body\1_methods\1_p.xml,"The current study was approved by the Mayo Clinic institutional review board and all patients provided informed written consent for clinical trial participation, study sample collection as well as permission for its use in research. Patient eligibility criteria, study design, treatment plan, study test schedule, and other protocol details have previously been reported
 ",[Mayo Clinic],['ORG'],[38],[49],informed written consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5842589\sections\1_body\1_methods_design\14_data_collection\1_p.xml,"Data will be collected using paper CRFs and entered into a validated trial database by the CTRU. A validation check program will be incorporated into the trial database to verify the data, and discrepancy reports will be generated for resolution by the investigator. Priority validations will be incorporated into the validation program to ensure that any discrepancies related to participant rights or safety are expedited to sites for resolution. Data will be monitored for quality and completeness by the CTRU. Missing data will be chased until received, and confirmed as not available, or the trial is at analysis. The CTRU/Sponsor will reserve the right to intermittently conduct source data verification exercises on a sample of participants, which will be carried out by staff from the CTRU/Sponsor. Source data verification will involve direct access to participant notes at the participating hospital sites and the central collection of copies of consent forms and other relevant investigation reports. Data will be held on a secure server at the University of Leeds and paper CRFs stored in a locked unit, both of which are accessible only to authorised trial staff.","[CTRU, CTRU, The CTRU/Sponsor, the University of Leeds]","['ORG', 'ORG', 'ORG', 'ORG']","[91, 508, 619, 1052]","[95, 512, 635, 1075]",consent form
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5842589\sections\1_body\1_methods_design\5_trial_population\1_p.xml,"The ACCoRd study aims to investigate the aforementioned treatment strategy within a population of participants with measurable, by IMWG criteria, relapsed MM requiring therapy who had undergone ASCT in first-line treatment and progressed for the first time at least 12 months after undergoing ASCT. The study will be conducted within an adult population (18 years or older), capable of giving written informed consent, with Eastern Cooperative Oncology (ECOG) Performance Status (ECOG PS) 0–2 and adequate full blood count (FBC), as well as satisfactory renal, hepatobiliary, pulmonary and cardiac function.","[ACCoRd, IMWG, MM, ASCT, first, first, at least 12 months, ASCT, 18 years, Eastern Cooperative Oncology]","['ORG', 'GPE', 'PERSON', 'PRODUCT', 'ORDINAL', 'ORDINAL', 'DATE', 'ORG', 'DATE', 'ORG']","[4, 131, 155, 194, 202, 246, 257, 293, 355, 424]","[10, 135, 157, 198, 207, 251, 275, 297, 363, 452]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5842589\sections\1_body\1_methods_design\8_registration_and_randomis\1_p.xml,"Following confirmation of written informed consent and eligibility, an authorised member of staff at the trial research site will register participants immediately into the study. Registration will be performed centrally using the Leeds Clinical Trials Research Unit (CTRU) automated 24-h telephone and web registration and randomisation system (Gen24). Following successful registration, participants will undergo four to six cycles of ITD re-induction and will subsequently be assessed for response.","[Registration, the Leeds Clinical Trials Research Unit, CTRU, 24, four to six, ITD]","['ORG', 'ORG', 'ORG', 'CARDINAL', 'CARDINAL', 'ORG']","[180, 227, 268, 284, 415, 437]","[192, 266, 272, 286, 426, 440]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5845260\sections\1_body\2_results\1_p.xml,"Twenty subjects with MS provided informed consent and were enrolled into this feasibility study from October 10, 2014 to February 18, 2015. Mean age of enrollees was 41.15 (SD = 9.29) years; 60% (12/20) were female (Table 
 ","[October 10, 2014 to February 18, 2015, 41.15, 60%, 12/20]","['DATE', 'CARDINAL', 'PERCENT', 'CARDINAL']","[101, 166, 191, 196]","[138, 171, 194, 201]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5864898\sections\1_body\4_ethics_statement\1_p.xml,"The ethics committee of Hannover Medical School approved this study (Study number: 2148-2014 and 2604-2014), and all patients provided written confirmed consent before enrollment.","[Hannover Medical School, 2148-2014, 2604-2014]","['ORG', 'DATE', 'DATE']","[24, 83, 97]","[47, 92, 106]",ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5891950\sections\1_body\1_methods\4_mesenchymal_stem_cells__m\1_p.xml,"ASCs (passage (P)2–P4) were used for injections into healthy and neurologically diseased horses. These cells were obtained from the UC Davis VMTH Regenerative Medicine Laboratory (RML). These samples were originally submitted for MSC expansion for autologous patient treatment. Excess cells not used for treatment were donated for research purposes with written consent of the owner. Cryopreserved MSCs were thawed, washed, and expanded in culture exactly as previously described [
 ","[the UC Davis VMTH Regenerative Medicine Laboratory, RML]","['ORG', 'ORG']","[128, 180]","[178, 183]",written consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5916588\sections\1_body\2_discussion\1_p.xml,This study protocol is designed to focus on investigating the neuromodulation role of transcranial LED therapy (TCLT) for patients who are victims of severe traumatic brain injury (TBI) with diffuse axonal injury. The objective of the study is to verify the hypothesis that this therapy presents pro-cognitive effects for rehabilitation.,[TBI],['ORG'],[181],[184],study protocol
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5932813\sections\1_body\1_methods\4_selection_of_cases_and_re\1_p.xml,"Patients admitted in the haematology wards of the two participating centres receiving myeloablative chemotherapy and who are expected to develop prolonged neutropenia (> 7 days) will be followed up daily by the attending physicians and by a research nurse specifically commissioned to carry out this study. Screening swabs from the catheter hubs and the catheter insertion site will be collected previous to randomisation by the usual nursing personnel; then, the catheter samples will be sent to the microbiology laboratory in order to identify patients with positive cultures (exclusion criteria). Patients with negative screening cultures will be followed up daily by the research nurse in charge and/or the investigators of the study, to assess whether they meet all the inclusion criteria and none of the exclusion criteria. A blood test will be performed every 2–3 days according to the protocols of each centre to document the development of neutropenia. Patients with neutropenia who met the inclusion criteria will be asked to sign the informed consent. The research nurse in charge and/or the investigators of the study will explain the study to the potential participants and ask them to sign the informed consent.","[two, daily, daily, 2–3]","['CARDINAL', 'DATE', 'DATE', 'CARDINAL']","[50, 198, 662, 867]","[53, 203, 667, 870]",informed consent
