,htmllinks,pdflinks,journaltitle,authorinfo,title
PMC7811340,https://europepmc.org/articles/PMC7811340,https://europepmc.org/articles/PMC7811340?pdf=render,Laboratory investigation; a journal of technical methods and pathology,Cui M,Artificial intelligence and computational pathology.
PMC7802103,https://europepmc.org/articles/PMC7802103,https://europepmc.org/articles/PMC7802103?pdf=render,Turkish journal of ophthalmology,,"Comment on: ""Artificial Intelligence and Ophthalmology""."
PMC7888282,,,Applied Intelligence,Nawaz M,Using artificial intelligence techniques for COVID-19 genome analysis
PMC7484814,,,Artificial intelligence in medicine,Jin D,Artificial intelligence in radiology
PMC7828229,https://europepmc.org/articles/PMC7828229,https://europepmc.org/articles/PMC7828229?pdf=render,Biomolecules,,Application of Artificial Intelligence for Medical Research.
PMC7889475,,,Clinical genitourinary cancer,,The 2021 COVID-19 Artificial Intelligence Issue
PMC7732722,https://europepmc.org/articles/PMC7732722,https://europepmc.org/articles/PMC7732722?pdf=render,VideoGIE : an official video journal of the American Society for Gastrointestinal Endoscopy,Pannala R,Artificial intelligence in gastrointestinal endoscopy.
PMC7829030,https://europepmc.org/articles/PMC7829030,https://europepmc.org/articles/PMC7829030?pdf=render,Der Nervenarzt,Schweingruber N,[Artificial intelligence in neurocritical care].
PMC7863110,https://europepmc.org/articles/PMC7863110,https://europepmc.org/articles/PMC7863110?pdf=render,JBRA assisted reproduction,Gomes LMO,Artificial Intelligence as an ally to human reproduction and embryology.
PMC7759436,https://europepmc.org/articles/PMC7759436,,JMIR serious games,,The Impact of Artificial Intelligence on the Chess World.
PMC7849081,https://europepmc.org/articles/PMC7849081,https://europepmc.org/articles/PMC7849081?pdf=render,BMC medical informatics and decision making,Lee KS,Automated detection of colorectal tumors based on artificial intelligence.
PMC7848866,https://europepmc.org/articles/PMC7848866,https://europepmc.org/articles/PMC7848866?pdf=render,Nature reviews. Cardiology,Siontis KC,Artificial intelligence-enhanced electrocardiography in cardiovascular disease management.
PMC7851658,,,SN Social Sciences,,In support of “no-fault” civil liability rules for artificial intelligence
PMC7794111,https://europepmc.org/articles/PMC7794111,https://europepmc.org/articles/PMC7794111?pdf=render,Pakistan journal of medical sciences,,Artificial Intelligence: Help or Hindrance for Family Physicians?
PMC7824342,https://europepmc.org/articles/PMC7824342,https://europepmc.org/articles/PMC7824342?pdf=render,"Healthcare (Basel, Switzerland)",,The Artificial Intelligence in Digital Pathology and Digital Radiology: Where Are We?
PMC7790358,https://europepmc.org/articles/PMC7790358,https://europepmc.org/articles/PMC7790358?pdf=render,Journal of bioethical inquiry,,Teasing out Artificial Intelligence in Medicine: An Ethical Critique of Artificial Intelligence and Machine Learning in Medicine.
PMC7837533,https://europepmc.org/articles/PMC7837533,https://europepmc.org/articles/PMC7837533?pdf=render,Research and reports in urology,Van Booven DJ,A Systematic Review of Artificial Intelligence in Prostate Cancer.
PMC7832628,,,The Lancet. Digital health,,Artificial intelligence for COVID-19: saviour or saboteur?
PMC7811949,https://europepmc.org/articles/PMC7811949,https://europepmc.org/articles/PMC7811949?pdf=render,Journal of medical systems,Williams CM,Artificial Intelligence and a Pandemic: an Analysis of the Potential Uses and Drawbacks.
PMC7679423,https://europepmc.org/articles/PMC7679423,https://europepmc.org/articles/PMC7679423?pdf=render,Scientific reports,Ren H,Enhanced cognitive demodulation with artificial intelligence.
PMC7702165,https://europepmc.org/articles/PMC7702165,https://europepmc.org/articles/PMC7702165?pdf=render,Chemphyschem : a European journal of chemical physics and physical chemistry,,Chemistry in Times of Artificial Intelligence.
PMC7538016,https://europepmc.org/articles/PMC7538016,https://europepmc.org/articles/PMC7538016?pdf=render,Nepal journal of epidemiology,van Teijlingen A,Artificial Intelligence and Health in Nepal.
PMC7885664,,,Materials today. Proceedings,Sucharitha G,Predicting the Effect of Covid-19 by using Artificial Intelligence: A Case Study
PMC7776290,https://europepmc.org/articles/PMC7776290,https://europepmc.org/articles/PMC7776290?pdf=render,Intensive care medicine,Maslove DM,Artificial intelligence in telemetry: what clinicians should know.
PMC7812328,https://europepmc.org/articles/PMC7812328,https://europepmc.org/articles/PMC7812328?pdf=render,Nepal journal of epidemiology,Banerjee I,COVID-19 and Artificial Intelligence: the pandemic pacifier.
PMC7756764,https://europepmc.org/articles/PMC7756764,https://europepmc.org/articles/PMC7756764?pdf=render,Journal of the experimental analysis of behavior,Dufour MM,Artificial intelligence for the measurement of vocal stereotypy.
PMC7755865,https://europepmc.org/articles/PMC7755865,https://europepmc.org/articles/PMC7755865?pdf=render,Science and engineering ethics,Felzmann H,Towards Transparency by Design for Artificial Intelligence.
PMC7537635,,,Industrial Marketing Management,Farrokhi A,Using artificial intelligence to detect crisis related to events: Decision making in B2B by artificial intelligence
PMC7796369,https://europepmc.org/articles/PMC7796369,https://europepmc.org/articles/PMC7796369?pdf=render,International journal of environmental research and public health,Asgary A,Artificial Intelligence Model of Drive-Through Vaccination Simulation.
PMC7856980,https://europepmc.org/articles/PMC7856980,,Indian journal of ophthalmology,Jayadev C,Artificial intelligence in laser refractive surgery - Potential and promise!
PMC7830072,https://europepmc.org/articles/PMC7830072,https://europepmc.org/articles/PMC7830072?pdf=render,World journal of gastrointestinal surgery,Bari H,Role of artificial intelligence in hepatobiliary and pancreatic surgery.
PMC7787777,https://europepmc.org/articles/PMC7787777,https://europepmc.org/articles/PMC7787777?pdf=render,Applied bionics and biomechanics,Aldhyani THH,Water Quality Prediction Using Artificial Intelligence Algorithms.
PMC7882428,,,Computer methods and programs in biomedicine,Yaşar Ş,Artificial Intelligence-Based Prediction Of Covid-19 Severity On The Results Of Protein Profiling
PMC7824322,https://europepmc.org/articles/PMC7824322,https://europepmc.org/articles/PMC7824322?pdf=render,"Diagnostics (Basel, Switzerland)",Tonozuka R,The Role of Artificial Intelligence in Endoscopic Ultrasound for Pancreatic Disorders.
PMC7692869,,,Future virology,Arora N,The role of artificial intelligence in tackling COVID-19
PMC7588986,https://europepmc.org/articles/PMC7588986,https://europepmc.org/articles/PMC7588986?pdf=render,"Sensors (Basel, Switzerland)",Zhang D,Smart Sensors and Devices in Artificial Intelligence.
PMC7577280,https://europepmc.org/articles/PMC7577280,https://europepmc.org/articles/PMC7577280?pdf=render,Drug discovery today,Paul D,Artificial intelligence in drug discovery and development.
PMC7792599,https://europepmc.org/articles/PMC7792599,https://europepmc.org/articles/PMC7792599?pdf=render,"Sensors (Basel, Switzerland)",Vourganas I,Individualised Responsible Artificial Intelligence for Home-Based Rehabilitation.
PMC7891849,,,Current opinion in ophthalmology,Gensure RH,Artificial intelligence for retinopathy of prematurity.
PMC7640800,https://europepmc.org/articles/PMC7640800,,Indian journal of dermatology,De A,Use of Artificial Intelligence in Dermatology.
PMC7673858,https://europepmc.org/articles/PMC7673858,https://europepmc.org/articles/PMC7673858?pdf=render,Aging and disease,Mishra R,The Application of Artificial Intelligence in the Genetic Study of Alzheimer's Disease.
PMC7697458,https://europepmc.org/articles/PMC7697458,https://europepmc.org/articles/PMC7697458?pdf=render,Journal of clinical medicine,Marlicz W,Artificial Intelligence in Gastroenterology-Walking into the Room of Little Miracles.
PMC7549428,https://europepmc.org/articles/PMC7549428,https://europepmc.org/articles/PMC7549428?pdf=render,Journal of echocardiography,,Steps to use artificial intelligence in echocardiography.
PMC7751777,https://europepmc.org/articles/PMC7751777,https://europepmc.org/articles/PMC7751777?pdf=render,Cancer management and research,Zhou J,Progress of Artificial Intelligence in Gynecological Malignant Tumors.
PMC7648181,https://europepmc.org/articles/PMC7648181,https://europepmc.org/articles/PMC7648181?pdf=render,Intelligence-based medicine,,Artificial intelligence and COVID-19: Present state and future vision.
PMC7576935,https://europepmc.org/articles/PMC7576935,https://europepmc.org/articles/PMC7576935?pdf=render,Frontiers in neurology,Ali F,Role of Artificial Intelligence in TeleStroke: An Overview.
PMC7816060,https://europepmc.org/articles/PMC7816060,https://europepmc.org/articles/PMC7816060?pdf=render,European radiology,Rangarajan K,Artificial Intelligence-assisted chest X-ray assessment scheme for COVID-19.
PMC7829469,https://europepmc.org/articles/PMC7829469,https://europepmc.org/articles/PMC7829469?pdf=render,Neuro-oncology advances,Galldiks N,"Artificial Intelligence, Radiomics, and Deep Learning in Neuro-Oncology."
PMC7815891,https://europepmc.org/articles/PMC7815891,https://europepmc.org/articles/PMC7815891?pdf=render,Scientific reports,Shams SR,Artificial intelligence accuracy assessment in NO<sub>2</sub> concentration forecasting of metropolises air.
PMC7580986,https://europepmc.org/articles/PMC7580986,https://europepmc.org/articles/PMC7580986?pdf=render,AI & society,,Artificial intelligence in medicine and the disclosure of risks.
PMC7709298,https://europepmc.org/articles/PMC7709298,https://europepmc.org/articles/PMC7709298?pdf=render,"Critical care (London, England)",,"The future of AI in critical care is augmented, not artificial, intelligence."
PMC7706019,https://europepmc.org/articles/PMC7706019,https://europepmc.org/articles/PMC7706019?pdf=render,BMC medical informatics and decision making,Amann J,Explainability for artificial intelligence in healthcare: a multidisciplinary perspective.
PMC7647420,https://europepmc.org/articles/PMC7647420,https://europepmc.org/articles/PMC7647420?pdf=render,Journal of the Chinese Medical Association : JCMA,Jheng YC,The era of artificial intelligence-based individualized telemedicine is coming.
PMC7498478,https://europepmc.org/articles/PMC7498478,https://europepmc.org/articles/PMC7498478?pdf=render,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],,Artificial intelligence and radiomics for radiation oncology.
PMC7739161,https://europepmc.org/articles/PMC7739161,https://europepmc.org/articles/PMC7739161?pdf=render,World journal of gastroenterology,Parasher G,Evolving role of artificial intelligence in gastrointestinal endoscopy.
PMC7665600,,,National science review,,Yi Zeng: promoting good governance of artificial intelligence
PMC7760157,https://europepmc.org/articles/PMC7760157,https://europepmc.org/articles/PMC7760157?pdf=render,Journal of clinical medicine,Espinoza JL,Artificial Intelligence Tools for Refining Lung Cancer Screening.
PMC7861001,https://europepmc.org/articles/PMC7861001,https://europepmc.org/articles/PMC7861001?pdf=render,Personal and ubiquitous computing,Zhang D,The value of artificial intelligence and imaging diagnosis in the fight against COVID-19.
PMC7885243,https://europepmc.org/articles/PMC7885243,https://europepmc.org/articles/PMC7885243?pdf=render,BMC medical ethics,Murphy K,Artificial intelligence for good health: a scoping review of the ethics literature.
PMC7392361,https://europepmc.org/articles/PMC7392361,https://europepmc.org/articles/PMC7392361?pdf=render,Cureus,Chiwome L,Artificial Intelligence: Is It Armageddon for Breast Radiologists?
PMC7689476,https://europepmc.org/articles/PMC7689476,https://europepmc.org/articles/PMC7689476?pdf=render,Scientific reports,Korver S,Artificial intelligence and thermodynamics help solving arson cases.
PMC7695525,https://europepmc.org/articles/PMC7695525,https://europepmc.org/articles/PMC7695525?pdf=render,JMIR formative research,Dosovitsky G,Artificial Intelligence Chatbot for Depression: Descriptive Study of Usage.
PMC7771825,https://europepmc.org/articles/PMC7771825,https://europepmc.org/articles/PMC7771825?pdf=render,Journal of the American College of Emergency Physicians open,Kirubarajan A,Artificial intelligence in emergency medicine: A scoping review.
PMC7862268,https://europepmc.org/articles/PMC7862268,https://europepmc.org/articles/PMC7862268?pdf=render,Scientific reports,Lee CC,Applying artificial intelligence to longitudinal imaging analysis of vestibular schwannoma following radiosurgery.
PMC7840001,https://europepmc.org/articles/PMC7840001,https://europepmc.org/articles/PMC7840001?pdf=render,PloS one,Park H,Correction: Global gene network exploration based on explainable artificial intelligence approach.
PMC7692722,https://europepmc.org/articles/PMC7692722,https://europepmc.org/articles/PMC7692722?pdf=render,"Antibiotics (Basel, Switzerland)",Fanelli U,Role of Artificial Intelligence in Fighting Antimicrobial Resistance in Pediatrics.
PMC7695898,https://europepmc.org/articles/PMC7695898,https://europepmc.org/articles/PMC7695898?pdf=render,Computational and structural biotechnology journal,Hameduh T,Homology modeling in the time of collective and artificial intelligence.
PMC7758096,https://europepmc.org/articles/PMC7758096,https://europepmc.org/articles/PMC7758096?pdf=render,"Ultrasonography (Seoul, Korea)",Shin Y,Artificial intelligence in musculoskeletal ultrasound imaging.
PMC7675143,https://europepmc.org/articles/PMC7675143,https://europepmc.org/articles/PMC7675143?pdf=render,Arrhythmia & electrophysiology review,van de Leur RR,Big Data and Artificial Intelligence: Opportunities and Threats in Electrophysiology.
PMC7557439,https://europepmc.org/articles/PMC7557439,,Journal of medical Internet research,Zhang J,Artificial Intelligence Chatbot Behavior Change Model for Designing Artificial Intelligence Chatbots to Promote Physical Activity and a Healthy Diet: Viewpoint.
PMC7701951,https://europepmc.org/articles/PMC7701951,https://europepmc.org/articles/PMC7701951?pdf=render,World journal of gastroenterology,Kohli A,Emerging use of artificial intelligence in inflammatory bowel disease.
PMC7758099,https://europepmc.org/articles/PMC7758099,https://europepmc.org/articles/PMC7758099?pdf=render,"Ultrasonography (Seoul, Korea)",,Artificial intelligence for ultrasonography: unique opportunities and challenges.
PMC7735013,https://europepmc.org/articles/PMC7735013,,Indian dermatology online journal,,Artificial Intelligence in Dermatology: A Practical Introduction to a Paradigm Shift.
PMC7837463,https://europepmc.org/articles/PMC7837463,https://europepmc.org/articles/PMC7837463?pdf=render,PloS one,Han TA,Mediating artificial intelligence developments through negative and positive incentives.
PMC7664912,https://europepmc.org/articles/PMC7664912,https://europepmc.org/articles/PMC7664912?pdf=render,"Sensors (Basel, Switzerland)",Kim D,Artificial Intelligence-Based Optimal Grasping Control.
PMC7451704,https://europepmc.org/articles/PMC7451704,https://europepmc.org/articles/PMC7451704?pdf=render,AI & society,Radanliev P,Artificial intelligence in cyber physical systems.
PMC7865877,https://europepmc.org/articles/PMC7865877,https://europepmc.org/articles/PMC7865877?pdf=render,"Sensors (Basel, Switzerland)",Fu Z,Artificial-Intelligence-Enhanced Mobile System for Cardiovascular Health Management.
PMC7606883,https://europepmc.org/articles/PMC7606883,https://europepmc.org/articles/PMC7606883?pdf=render,Journal of Korean medical science,Park CW,Artificial Intelligence in Health Care: Current Applications and Issues.
PMC7585956,https://europepmc.org/articles/PMC7585956,https://europepmc.org/articles/PMC7585956?pdf=render,Anatolian journal of cardiology,Badano LP,Artificial intelligence and cardiovascular imaging: A win-win combination.
PMC7842077,https://europepmc.org/articles/PMC7842077,https://europepmc.org/articles/PMC7842077?pdf=render,BMC medical informatics and decision making,Ahn I,CardioNet: a manually curated database for artificial intelligence-based research on cardiovascular diseases.
